i	j	weight
6PGD	NAD_binding_2	1
6PGD	SIR2	1
6PGD	zf-UBP	1
Actin	SIR2	1
Ank	Ank_2	3
Ank	SIR2	3
Ank_2	Ank_3	1
Ank_2	Ank_4	2
Ank_2	FYVE	1
Ank_2	SIR2	12
Ank_2	YEATS	1
Ank_3	SIR2	1
Ank_4	SIR2	2
Arm	SIR2	1
BT1	SIR2	1
Biotin_lipoyl	SIR2	1
C1_2	SIR2	1
C1_2	zf-UBP	1
CAP_C	SIR2	6
DDE_Tnp_4	SIR2	1
DUF1126	EF-hand_7	1
DUF1126	SIR2	1
DUF1350	SIR2	1
DUF1415	SIR2	1
DUF1759	Peptidase_A17	1
DUF1759	SIR2	1
DUF592	SIR2	6
EF-hand_5	EF-hand_7	1
EF-hand_5	PUB	1
EF-hand_5	SIR2	1
EF-hand_7	PUB	1
EF-hand_7	SIR2	2
F-box-like	SIR2	1
FAD-oxidase_C	FAD_binding_4	1
FAD-oxidase_C	SIR2	1
FAD_binding_4	SIR2	1
FDX-ACB	SIR2	1
FYVE	SIR2	1
FYVE	YEATS	1
GGACT	SIR2	1
Integrase_H2C2	RT_RNaseH_2	1
Integrase_H2C2	SIR2	1
Kelch_1	SIR2	1
Kelch_4	SIR2	1
Kelch_6	SIR2	1
LRR_8	Pkinase_Tyr	1
LRR_8	SIR2	1
NAD_binding_2	SIR2	1
NAD_binding_2	zf-UBP	1
NIF3	SIR2	1
NIT	SIR2	3
PI3_PI4_kinase	SIR2	2
PP2C	SIR2	1
PS_Dcarbxylase	SIR2	1
PUB	SIR2	1
Peptidase_A17	SIR2	1
Pkinase	SIR2	2
Pkinase_Tyr	SIR2	2
RT_RNaseH_2	SIR2	1
Ras	SIR2	1
SAP	SIR2	1
SH3_1	SIR2	1
SIR2	SIR2	1066
SIR2	Sulfotransfer_1	1
SIR2	TPR_17	1
SIR2	UQ_con	1
SIR2	VWA	1
SIR2	YEATS	8
SIR2	Y_phosphatase	1
SIR2	ZZ	3
SIR2	zf-A20	1
SIR2	zf-CW	1
SIR2	zf-MYND	1
SIR2	zf-NOSIP	1
SIR2	zf-UBP	31
SIR2	zf-ZPR1	6
SIR2	zf-met	1
TPR_17	zf-MYND	1
